appid,name,developer,genres_steam,price,release_year,metacritic_score,total_recommendations,is_free,genre,country
50130,Mafia II (Classic),2K Czech,Acción,29.99,2011,77,35563,False,Acción,República Checa
27330,Blacklight: Tango Down,Zombie Studios,Acción,0.0,2010,65,293,False,Acción,Desconocido
466890,Z.I.O.N.,VGstudio,"Acción, Aventura",4.99,2016,0,114,False,Acción,Suecia
412480,Turtle Odyssey,Qumaron,"Acción, Aventura, Casual",2.99,2015,0,169,False,Acción,Desconocido
780160,All Stars Racing Cup,Ink Syntax,"Casual, Carreras, Acceso anticipado",0.79,2018,0,0,False,Deportes,Desconocido
1181400,Path of Giants,Journey Bound Games,"Aventura, Casual, Indie",7.39,2020,0,401,False,Aventura,Desconocido
581100,Langoth,Atum Software,"Acción, Aventura, Indie",2.99,2017,0,0,False,Acción,Desconocido
508820,Won't You Be My Laser?,Chequered Ink Ltd.,"Casual, Indie",0.99,2016,0,0,False,Acción,Reino Unido
711540,Lonely Mountains: Downhill,Megagon Industries,"Acción, Indie, Carreras, Simuladores, Deportes",18.99,2019,80,2633,False,Acción,Desconocido
1526230,VR HENTAI DATE,Hentai VR Studios,Simuladores,7.39,2021,0,0,False,Simulación,Desconocido
542720,Bubble Blowout,EnsenaSoft,"Acción, Casual",0.79,2016,0,0,False,Acción,Desconocido
570,Dota 2,Valve,"Acción, Estrategia, Free to Play",0.0,2013,90,14366,True,Acción,Estados Unidos
480490,Prey,Arkane Studios,"Acción, Aventura",29.99,2017,0,36513,False,Acción,Francia
705550,Burgle Bros.,Fowers Games,"Aventura, Indie",3.29,2017,0,0,False,Aventura,Desconocido
661430,LineWay,PONY,"Casual, Indie",0.69,2017,0,502,False,Acción,Japón
585420,Trailmakers,Flashbulb,"Acción, Aventura, Indie, Carreras, Simuladores",6.24,2019,0,27968,False,Aventura,Desconocido
832770,Age of Fear: The Undead King GOLD,Leslaw Sliwko,"Indie, Rol, Estrategia",24.99,2019,0,0,False,Estrategia,Desconocido
386360,SMITE®,Titan Forge Games,"Acción, Aventura, Casual, Indie, Multijugador masivo, Rol, Simuladores, Estrategia, Free to Play",0.0,2015,83,1394,True,Acción,Desconocido
926520,Love Letter,Nomad Games,Estrategia,6.99,2018,0,245,False,Estrategia,Escocia
365590,Tom Clancy’s The Division™,Massive Entertainment,"Acción, Aventura, Rol",2.99,2016,0,75464,False,Acción,Suecia
563270,In Vitra - JRPG Adventure,bumblebee,"Aventura, Rol",4.99,2017,0,0,False,Rpg,Desconocido
31840,Nancy Drew®: Danger on Deception Island,HeR Interactive,Aventura,9.75,2009,81,272,False,Aventura,Canadá
1233570,Mirror's Edge™ Catalyst,DICE,"Acción, Aventura",19.99,2020,74,13574,False,Acción,Suecia
301730,300 Dwarves,Artifex Mundi,Casual,6.89,2014,0,0,False,Acción,Desconocido
291170,Royal Defense,Good Games,"Aventura, Casual, Indie, Estrategia",14.79,2014,0,244,False,Aventura,Desconocido
546780,Anomalies,Schmidt Workshops,"Casual, Indie, Simuladores",3.99,2016,0,0,False,Simulación,Alemania
357300,Snakebird,Noumenon Games,Indie,6.99,2015,0,879,False,Acción,Desconocido
1534180,Super Woden GP,ViJuDa,"Indie, Carreras, Deportes",10.79,2021,0,350,False,Deportes,Desconocido
730280,Protect your planet,Triple Rush Games,"Casual, Indie, Simuladores",4.99,2017,0,0,False,Simulación,Desconocido
544870,Blood Ties,Warfare Studios,"Aventura, Casual, Indie, Rol, Estrategia",9.99,2016,0,0,False,Aventura,Suecia
92900,Agricultural Simulator 2011: Extended Edition,Actalogic,"Acción, Aventura, Casual, Simuladores, Estrategia",0.89,2011,0,132,False,Acción,Desconocido
898450,UBERMOSH:SANTICIDE,Walter Machado,"Acción, Indie",0.49,2018,0,445,False,Acción,Brasil
368710,Power of Love,Yang Sun,"Casual, Indie, Estrategia",0.49,2015,0,115,False,Estrategia,Desconocido
491260,Take Thy Throne,Charyb Games,"Acción, Aventura, Casual, Indie, Multijugador masivo, Estrategia",1.59,2016,0,0,False,Acción,Desconocido
497800,Golden Krone Hotel,Vulgat,"Aventura, Indie, Rol, Estrategia",9.99,2017,0,307,False,Rpg,Desconocido
407330,Sakura Dungeon,Winged Cloud,"Aventura, Indie, Rol",19.99,2016,0,1365,False,Aventura,Japón
391630,Necromonads,Gamesare,Acción,0.0,2015,0,0,False,Acción,Desconocido
420740,The Deed,Pilgrim Adventures,"Aventura, Rol",0.49,2015,0,2073,False,Rpg,Desconocido
739130,The Executioner,Lesser Evil Games,"Aventura, Indie, Rol",8.19,2019,0,313,False,Aventura,Desconocido
380020,Three Heroes,Cats Who Play,"Acción, Aventura, Indie",3.99,2015,0,875,False,Acción,Desconocido
423580,Project Highrise,SomaSim,"Simuladores, Estrategia",19.5,2016,73,3806,False,Estrategia,Desconocido
6030,STAR WARS™ Jedi Knight II - Jedi Outcast™,Raven Software,Acción,9.75,2009,89,3954,False,Acción,Estados Unidos
212680,FTL: Faster Than Light,Subset Games,"Indie, Simuladores, Estrategia",9.99,2012,84,61560,False,Estrategia,Desconocido
3536380,Gridkeeper,pixelwide,"Casual, Indie, Simuladores, Estrategia",1.99,2025,0,147,False,Estrategia,Desconocido
